Artist,Title,Year,Decade,Gender,Genre,Energy,ID,Length,
10cc,I'm Not in Love,1975,1970,G,POP,1,1,S,
10cc,Dreadlock Holiday,1978,1970,G,REGGAE,5,2,S,
98 Degrees,Because of You,1998,1990,G,POP,1,3,S,
A-ha,Take on Me,1984,1980,G,POP,5,4,S,
A-ha,The Sun Always Shines on T.V.,1985,1980,G,POP,5,5,S,
A-ha,Hunting High and Low,1985,1980,G,POP,1,6,S,
Aaliyah,Try Again,2000,2000,F,SOUL,5,7,S,
Aaliyah,More Than a Woman,2001,2000,F,SOUL,5,8,S,
ABBA,Dancing Queen,1976,1970,G,POP,5,9,S,
ABBA,Knowing Me Knowing You,1976,1970,G,POP,5,10,S,
ABBA,Take a Chance on Me,1977,1970,G,POP,5,11,S,
ABBA,The Winner Takes It All,1980,1980,G,POP,1,12,S,
ABBA,Mamma Mia,1975,1970,G,POP,5,13,S,
ABBA,Fernando,1976,1970,G,POP,1,14,S,
ABBA,Waterloo,1974,1970,G,POP,5,15,S,
ABBA,SOS,1975,1970,G,POP,5,16,S,
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),1979,1970,G,POP,5,17,S,
ABBA,Super Trouper,1980,1980,G,POP,5,18,S,
ABBA,Chiquitita,1979,1970,G,POP,1,19,S,
ABBA,Money Money Money,1976,1970,G,POP,5,20,S,
ABBA,Voulez-Vous,1979,1970,G,POP,5,21,S,
ABC,The Look of Love,1982,1980,G,POP,5,22,S,
ABC,Poison Arrow,1982,1980,G,POP,5,23,S,
Adam & The Ants,Prince Charming,1981,1980,G,POP,5,24,S,
Adam & The Ants,Stand and Deliver,1981,1980,G,POP,5,25,S,
Adele,Chasing Pavements,2008,2000,F,POP,1,26,S,
Adele,Make You Feel My Love,2008,2000,F,POP,1,27,S,
Adele,Rolling in the Deep,2010,2010,F,POP,5,28,S,
Adele,Someone Like You,2011,2010,F,POP,1,29,S,
Adele,Set Fire to the Rain,2011,2010,F,POP,1,30,S,
Adele,Skyfall,2012,2010,F,POP,1,31,S,
Adele,Hello,2015,2010,F,POP,1,32,S,
Adele,When We Were Young,2015,2010,F,POP,1,33,S,
Adele,Send My Love (To Your New Lover),2016,2010,F,POP,5,34,S,
Adele,Easy on Me,2021,2020,F,POP,1,35,S,
Aerosmith,Dream On,1973,1970,G,ROCK,1,36,S,
Aerosmith,Walk This Way,1975,1970,G,ROCK,5,37,S,
Aerosmith,I Don't Want to Miss a Thing,1998,1990,G,ROCK,1,38,S,
Al Green,Let's Stay Together,1971,1970,M,SOUL,1,39,S,
Al Green,I'm Still in Love with You,1972,1970,M,SOUL,1,40,S,
Al Jolson,The Anniversary Song,1952,1950,M,POP,1,41,S,
Al Martino,Here in My Heart,1952,1950,M,POP,1,42,S,
Al Martino,Spanish Eyes,1965,1960,M,POP,1,43,S,
Alanis Morissette,Ironic,1996,1990,F,ROCK,5,44,S,
Alanis Morissette,You Oughta Know,1995,1990,F,ROCK,5,45,S,
Alanis Morissette,Hand in My Pocket,1995,1990,F,ROCK,5,46,S,
Alanis Morissette,Thank U,1998,1990,F,ROCK,5,47,S,
Alicia Keys,Fallin',2001,2000,F,SOUL,1,48,S,
Alicia Keys,If I Ain't Got You,2003,2000,F,SOUL,1,49,S,
Alicia Keys,No One,2007,2000,F,SOUL,1,50,S,
Alicia Keys,Empire State of Mind (Part II) Broken Down,2009,2000,F,SOUL,1,51,S,
Alicia Keys,Girl on Fire,2012,2010,F,SOUL,5,52,S,
Alison Moyet,Love Resurrection,1984,1980,F,POP,5,53,S,
Alison Moyet,All Cried Out,1984,1980,F,POP,1,54,S,
Alison Moyet,Is This Love?,1986,1980,F,POP,5,55,S,
All Saints,Never Ever,1997,1990,G,POP,1,56,S,
All Saints,Pure Shores,2000,2000,G,POP,5,57,S,
All Saints,Black Coffee,2000,2000,G,POP,5,58,S,
Aloe Blacc,I Need a Dollar,2010,2010,M,SOUL,5,59,S,
Aloe Blacc,The Man,2013,2010,M,SOUL,5,60,S,
Alphaville,Big in Japan,1984,1980,G,POP,5,61,S,
Alphaville,Forever Young,1984,1980,G,POP,1,62,S,
Alvin Stardust,My Coo Ca Choo,1973,1970,M,ROCK,5,63,S,
Alvin Stardust,Jealous Mind,1974,1970,M,ROCK,5,64,S,
Amy Winehouse,Rehab,2006,2000,F,SOUL,5,65,S,
Amy Winehouse,Back to Black,2006,2000,F,SOUL,1,66,S,
Amy Winehouse,You Know I'm No Good,2006,2000,F,SOUL,5,67,S,
Amy Winehouse,Love Is a Losing Game,2006,2000,F,SOUL,1,68,S,
Amy Winehouse,Tears Dry on Their Own,2006,2000,F,SOUL,5,69,S,
Amy Winehouse,Valerie (Solo Version),2007,2000,F,SOUL,5,70,S,
Andy Williams,Music to Watch Girls By,1967,1960,M,POP,5,71,S,
Andy Williams,Can't Take My Eyes Off You,1967,1960,M,POP,5,72,S,
Andy Williams,(Where Do I Begin?) Love Story,1971,1970,M,POP,1,73,S,
Andy Williams,Moon River,1962,1960,M,POP,1,74,S,
Andy Williams,Happy Heart,1969,1960,M,POP,5,75,S,
Anita Baker,Sweet Love,1986,1980,F,SOUL,1,76,S,
Anita Ward,Ring My Bell,1979,1970,F,POP,5,77,S,
Anne-Marie,2002,2018,2010,F,POP,5,78,S,
Annie Lennox,Why,1992,1990,F,POP,1,79,S,
Annie Lennox,Walking on Broken Glass,1992,1990,F,POP,5,80,S,
Annie Lennox,"No More ""I Love You's""",1995,1990,F,POP,1,81,S,
Aqua,Barbie Girl,1997,1990,G,POP,5,82,S,
Aretha Franklin,Respect,1967,1960,F,SOUL,5,83,S,
Aretha Franklin,(You Make Me Feel Like) A Natural Woman,1967,1960,F,SOUL,1,84,S,
