Artist,Title,Year,Decade,Gender,Genre,Energy,ID,Length,Unnamed: 9,Daypart
10cc,I'm Not in Love,1975.0,1970.0,G,POP,1.0,1.0,S,,Evening
10cc,Dreadlock Holiday,1978.0,1970.0,G,REGGAE,5.0,2.0,S,,Morning
98 Degrees,Because of You,1998.0,1990.0,G,POP,1.0,3.0,S,,Evening
A-ha,Take on Me,1984.0,1980.0,G,POP,5.0,4.0,S,,Afternoon
A-ha,The Sun Always Shines on T.V.,1985.0,1980.0,G,POP,5.0,5.0,S,,Morning
A-ha,Hunting High and Low,1985.0,1980.0,G,POP,1.0,6.0,S,,Night
Aaliyah,Try Again,2000.0,2000.0,F,SOUL,5.0,7.0,S,,Morning
Aaliyah,More Than a Woman,2001.0,2000.0,F,SOUL,5.0,8.0,S,,Afternoon
ABBA,Dancing Queen,1976.0,1970.0,G,POP,5.0,9.0,S,,Morning
ABBA,Knowing Me Knowing You,1976.0,1970.0,G,POP,5.0,10.0,S,,Morning
ABBA,Take a Chance on Me,1977.0,1970.0,G,POP,5.0,11.0,S,,Morning
ABBA,The Winner Takes It All,1980.0,1980.0,G,POP,1.0,12.0,S,,Night
ABBA,Mamma Mia,1975.0,1970.0,G,POP,5.0,13.0,S,,Afternoon
ABBA,Fernando,1976.0,1970.0,G,POP,1.0,14.0,S,,Evening
ABBA,Waterloo,1974.0,1970.0,G,POP,5.0,15.0,S,,Morning
ABBA,SOS,1975.0,1970.0,G,POP,5.0,16.0,S,,Morning
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),1979.0,1970.0,G,POP,5.0,17.0,S,,Afternoon
ABBA,Super Trouper,1980.0,1980.0,G,POP,5.0,18.0,S,,Morning
ABBA,Chiquitita,1979.0,1970.0,G,POP,1.0,19.0,S,,Evening
ABBA,Money Money Money,1976.0,1970.0,G,POP,5.0,20.0,S,,Afternoon
ABBA,Voulez-Vous,1979.0,1970.0,G,POP,5.0,21.0,S,,Afternoon
ABC,The Look of Love,1982.0,1980.0,G,POP,5.0,22.0,S,,Afternoon
ABC,Poison Arrow,1982.0,1980.0,G,POP,5.0,23.0,S,,Afternoon
Adam & The Ants,Prince Charming,1981.0,1980.0,G,POP,5.0,24.0,S,,Afternoon
Adam & The Ants,Stand and Deliver,1981.0,1980.0,G,POP,5.0,25.0,S,,Afternoon
Adele,Chasing Pavements,2008.0,2000.0,F,POP,1.0,26.0,S,,Night
Adele,Make You Feel My Love,2008.0,2000.0,F,POP,1.0,27.0,S,,Night
Adele,Rolling in the Deep,2010.0,2010.0,F,POP,5.0,28.0,S,,Afternoon
Adele,Someone Like You,2011.0,2010.0,F,POP,1.0,29.0,S,,Evening
Adele,Set Fire to the Rain,2011.0,2010.0,F,POP,1.0,30.0,S,,Evening
Adele,Skyfall,2012.0,2010.0,F,POP,1.0,31.0,S,,Night
Adele,Hello,2015.0,2010.0,F,POP,1.0,32.0,S,,Night
Adele,When We Were Young,2015.0,2010.0,F,POP,1.0,33.0,S,,Evening
Adele,Send My Love (To Your New Lover),2016.0,2010.0,F,POP,5.0,34.0,S,,Afternoon
Adele,Easy on Me,2021.0,2020.0,F,POP,1.0,35.0,S,,Night
Aerosmith,Dream On,1973.0,1970.0,G,ROCK,1.0,36.0,S,,Night
Aerosmith,Walk This Way,1975.0,1970.0,G,ROCK,5.0,37.0,S,,Afternoon
Aerosmith,I Don't Want to Miss a Thing,1998.0,1990.0,G,ROCK,1.0,38.0,S,,Night
Al Green,Let's Stay Together,1971.0,1970.0,M,SOUL,1.0,39.0,S,,Night
Al Green,I'm Still in Love with You,1972.0,1970.0,M,SOUL,1.0,40.0,S,,Night
Al Jolson,The Anniversary Song,1952.0,1950.0,M,POP,1.0,41.0,S,,Night
Al Martino,Here in My Heart,1952.0,1950.0,M,POP,1.0,42.0,S,,Evening
Al Martino,Spanish Eyes,1965.0,1960.0,M,POP,1.0,43.0,S,,Evening
Alanis Morissette,Ironic,1996.0,1990.0,F,ROCK,5.0,44.0,S,,Afternoon
Alanis Morissette,You Oughta Know,1995.0,1990.0,F,ROCK,5.0,45.0,S,,Morning
Alanis Morissette,Hand in My Pocket,1995.0,1990.0,F,ROCK,5.0,46.0,S,,Afternoon
Alanis Morissette,Thank U,1998.0,1990.0,F,ROCK,5.0,47.0,S,,Morning
Alicia Keys,Fallin',2001.0,2000.0,F,SOUL,1.0,48.0,S,,Evening
Alicia Keys,If I Ain't Got You,2003.0,2000.0,F,SOUL,1.0,49.0,S,,Evening
Alicia Keys,No One,2007.0,2000.0,F,SOUL,1.0,50.0,S,,Evening
Alicia Keys,Empire State of Mind (Part II) Broken Down,2009.0,2000.0,F,SOUL,1.0,51.0,S,,Night
Alicia Keys,Girl on Fire,2012.0,2010.0,F,SOUL,5.0,52.0,S,,Afternoon
Alison Moyet,Love Resurrection,1984.0,1980.0,F,POP,5.0,53.0,S,,Morning
Alison Moyet,All Cried Out,1984.0,1980.0,F,POP,1.0,54.0,S,,Night
Alison Moyet,Is This Love?,1986.0,1980.0,F,POP,5.0,55.0,S,,Afternoon
All Saints,Never Ever,1997.0,1990.0,G,POP,1.0,56.0,S,,Night
All Saints,Pure Shores,2000.0,2000.0,G,POP,5.0,57.0,S,,Morning
All Saints,Black Coffee,2000.0,2000.0,G,POP,5.0,58.0,S,,Morning
Aloe Blacc,I Need a Dollar,2010.0,2010.0,M,SOUL,5.0,59.0,S,,Morning
Aloe Blacc,The Man,2013.0,2010.0,M,SOUL,5.0,60.0,S,,Afternoon
Alphaville,Big in Japan,1984.0,1980.0,G,POP,5.0,61.0,S,,Morning
Alphaville,Forever Young,1984.0,1980.0,G,POP,1.0,62.0,S,,Evening
Alvin Stardust,My Coo Ca Choo,1973.0,1970.0,M,ROCK,5.0,63.0,S,,Afternoon
Alvin Stardust,Jealous Mind,1974.0,1970.0,M,ROCK,5.0,64.0,S,,Afternoon
Amy Winehouse,Rehab,2006.0,2000.0,F,SOUL,5.0,65.0,S,,Afternoon
Amy Winehouse,Back to Black,2006.0,2000.0,F,SOUL,1.0,66.0,S,,Night
Amy Winehouse,You Know I'm No Good,2006.0,2000.0,F,SOUL,5.0,67.0,S,,Afternoon
Amy Winehouse,Love Is a Losing Game,2006.0,2000.0,F,SOUL,1.0,68.0,S,,Evening
Amy Winehouse,Tears Dry on Their Own,2006.0,2000.0,F,SOUL,5.0,69.0,S,,Afternoon
Amy Winehouse,Valerie (Solo Version),2007.0,2000.0,F,SOUL,5.0,70.0,S,,Morning
Andy Williams,Music to Watch Girls By,1967.0,1960.0,M,POP,5.0,71.0,S,,Afternoon
Andy Williams,Can't Take My Eyes Off You,1967.0,1960.0,M,POP,5.0,72.0,S,,Afternoon
