TY,Artist 1,Song Title,Category,LY,WOC,Weeks at No.1,Score,Tempo,Year,Gender,,,,,,Last Played
1,Abba,Dancing Queen,A,1,,,100,4,1976,Group,,,,,,24/04/2026 23:07
2,Queen,Bohemian Rhapsody,A,5,,,100,3,1975,Group,,,,,,25/04/2026 08:43
3,Neil Diamond,Sweet Caroline,A,3,,,100,3,1971,M,,,,,,25/04/2026 08:45
4,Bob Marley,Three Little Birds,A,2,,,100,2,1977,M,,,,,,25/04/2026 07:59
5,Queen,I Want To Break Free,A,24,,,100,4,1984,Group,,,,,,25/04/2026 07:39
6,Pharrell Williams,Happy,A,6,,,100,5,2013,M,,,,,,25/04/2026 08:42
7,Gerry & The Pacemakers,You'll Never Walk Alone,A,28,,,100,1,1963,Group,,,,,,25/04/2026 07:49
8,The Eagles,Hotel California,A,8,,,100,2,1976,Group,,,,,,25/04/2026 08:36
9,Frank Sinatra,My Way,A,4,,,100,1,1965,M,,,,,,25/04/2026 08:55
10,The Beatles,Here Comes The Sun,A,13,,,100,3,2011,Group,,,,,,25/04/2026 09:02
11,Kenny Rogers & Dolly Parton,Islands In The Stream,A,7,,,100,3,1983,Group,,,,,,25/04/2026 08:35
12,Whitney Houston,I Will Always Love You,A,107,,,100,3,1981,F,,,,,,25/04/2026 09:28
13,Cliff Richard,Summer Holiday,A,11,,,100,3,1977,M,,,,,,25/04/2026 07:53
14,Righteous Brothers,Unchained Melody,A,79,,,100,3,1981,M,,,,,,25/04/2026 07:39
15,Simon & Garfunkel,Bridge Over Troubled Water,A,19,,,100,3,1964,Group,,,,,,25/04/2026 08:42
16,Alex Warren,Ordinary,A,0,,,100,3,1979,M,,,,,,25/04/2026 07:52
17,Pink Floyd,Comfortably Numb,A,173,,,100,3,1994,Group,,,,,,25/04/2026 09:09
18,Elvis Presley,Jailhouse Rock,A,64,,,100,3,1985,M,,,,,,24/04/2026 22:49
19,Disturbed,The Sound Of Silence,A,0,,,100,3,2006,M,,,,,,25/04/2026 08:15
20,Abba,Thank You For The Music,A,170,,,100,3,1978,Group,,,,,,25/04/2026 07:42
21,Roy Orbison,"Oh, Pretty Woman",A,52,,,100,3,1979,M,,,,,,24/04/2026 22:49
22,Meatloaf,Bat Out Of Hell,A,56,,,100,3,1962,M,,,,,,25/04/2026 08:19
23,Katrina & The Waves,Walking On Sunshine,A,14,,,100,3,1968,Group,,,,,,25/04/2026 08:35
24,Wham!,Last Christmas,A,39,,,100,3,1974,M,,,,,,25/04/2026 08:12
25,Benson Boone,Beautiful Things,A,137,,,100,3,2014,M,,,,,,25/04/2026 07:29
26,Celine Dion,My Heart Will Go On,A,22,,,100,3,2012,M,,,,,,25/04/2026 08:24
27,Lady Gaga,Die With A Smile,A,215,,,100,3,1968,M,,,,,,24/04/2026 23:13
28,Robbie Williams,Angels,A,41,,,100,3,1981,M,,,,,,25/04/2026 08:26
29,Elvis Presley,Love Me Tender,A,10,,,100,3,1975,M,,,,,,25/04/2026 07:51
30,Frank Sinatra,Fly Me To The Moon,A,90,,,100,3,1977,M,,,,,,25/04/2026 09:22
31,Louis Armstrong,What A Wonderful World,A,20,,,100,3,2010,M,,,,,,25/04/2026 08:19
32,Ben E. King,Stand By Me,A,184,,,100,3,1980,M,,,,,,25/04/2026 07:39
33,Ed Sheeran,Perfect,A,16,,,100,3,2013,M,,,,,,25/04/2026 08:09
34,Jim Reeves,I Love You Because,A,33,,,100,3,1984,M,,,,,,25/04/2026 00:46
35,Elvis Presley,The Wonder Of You,A,21,,,100,3,1971,M,,,,,,25/04/2026 07:39
36,Oasis,Wonderwall,A,70,,,100,3,1975,Group,,,,,,25/04/2026 08:32
37,D:Ream,Things Can Only Get Better,A,92,,,100,3,1969,M,,,,,,25/04/2026 08:56
38,Fern Kinney,Together We Are Beautiful,A,0,,,100,3,2013,M,,,,,,25/04/2026 09:15
39,Elvis Presley,Always On My Mind,A,75,,,100,3,1984,M,,,,,,25/04/2026 07:46
40,Chris Rea,Driving Home For Christmas,A,61,,,100,3,1986,M,,,,,,25/04/2026 08:17
41,The Beatles,She Loves You,A,124,,,100,3,2013,Group,,,,,,25/04/2026 08:49
42,Rod Stewart,Sailing,A,106,,,100,3,1983,M,,,,,,25/04/2026 08:49
43,Frank Sinatra,Strangers In The Night,A,45,,,100,3,2017,M,,,,,,25/04/2026 09:22
44,Abba,Mamma Mia,A,29,,,100,3,1967,Group,,,,,,25/04/2026 07:39
