Artist,Title,Year,Decade,Gender,Genre,Energy,ID,Length,Unnamed: 9,Daypart,Enabled,Decade_Group
Al Martino,Spanish Eyes,1965,1960,M,POP,4,99,S,,Morning,Y,1960
Andy Williams,Music to Watch Girls By,1967,1960,M,POP,4,100,S,,Afternoon,Y,1960
Andy Williams,Can't Take My Eyes Off You,1967,1960,M,POP,4,101,S,,Afternoon,Y,1960
Andy Williams,Moon River,1962,1960,M,POP,3,102,S,,Afternoon,Y,1960
Andy Williams,Happy Heart,1969,1960,M,POP,2,103,S,,Night,Y,1960
Aretha Franklin,Respect,1967,1960,F,SOUL,4,104,S,,Morning,Y,1960
Aretha Franklin,(You Make Me Feel Like) A Natural Woman,1967,1960,F,SOUL,2,105,S,,Night,Y,1960
Aretha Franklin,I Say a Little Prayer,1968,1960,F,SOUL,2,106,S,,Evening,Y,1960
Aretha Franklin,Think,1968,1960,F,SOUL,3,107,S,,Afternoon,Y,1960
Astrud Gilberto,The Girl from Ipanema,1964,1960,F,JAZZ,2,108,S,,Night,Y,1960
Stan Getz,The Girl from Ipanema,1964,1960,M,JAZZ,4,109,S,,Afternoon,Y,1960
Bee Gees,Massachusetts,1967,1960,G,POP,2,110,S,,Evening,Y,1960
Bee Gees,Words,1968,1960,G,POP,2,111,S,,Night,Y,1960
Ben E. King,Stand By Me,1961,1960,M,SOUL,2,112,S,,Night,Y,1960
Billy Fury,Halfway to Paradise,1961,1960,M,POP,3,113,S,,Afternoon,Y,1960
Billy Fury,Jealousy,1961,1960,M,POP,4,114,S,,Afternoon,Y,1960
Bob Dylan,Like a Rolling Stone,1965,1960,M,ROCK,3,115,S,,Afternoon,Y,1960
Bobby Vee,Take Good Care of My Baby,1961,1960,M,POP,3,116,S,,Afternoon,Y,1960
Bobby Vinton,Blue Velvet,1963,1960,M,POP,4,117,S,,Afternoon,Y,1960
Brenda Lee,I'm Sorry,1960,1960,F,POP,4,118,S,,Afternoon,Y,1960
Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960,1960,M,POP,2,119,S,,Evening,Y,1960
Chuck Berry,You Never Can Tell,1964,1960,M,ROCK,2,120,S,,Evening,Y,1960
Chubby Checker,The Twist,1960,1960,M,POP,2,121,S,,Night,Y,1960
Cliff Richard,The Young Ones,1961,1960,M,POP,4,122,S,,Morning,Y,1960
Cliff Richard,Summer Holiday,1963,1960,M,POP,4,123,S,,Morning,Y,1960
Cliff Richard,Congratulations,1968,1960,M,POP,4,124,S,,Afternoon,Y,1960
Dave Berry,The Crying Game,1964,1960,M,POP,2,125,S,,Evening,Y,1960
David Bowie,Space Oddity,1969,1960,M,ROCK,3,126,S,,Afternoon,Y,1960
Dionne Warwick,Walk On By,1964,1960,F,SOUL,2,127,S,,Evening,Y,1960
Dionne Warwick,I Say a Little Prayer,1967,1960,F,SOUL,3,128,S,,Afternoon,Y,1960
Doris Day,Perhaps Perhaps Perhaps,1964,1960,F,POP,2,129,S,,Night,Y,1960
Dusty Springfield,Son of a Preacher Man,1968,1960,F,SOUL,4,130,S,,Afternoon,Y,1960
Dusty Springfield,I Only Want to Be with You,1963,1960,F,POP,3,131,S,,Afternoon,Y,1960
Dusty Springfield,You Don't Have to Say You Love Me,1966,1960,F,POP,3,132,S,,Afternoon,Y,1960
Dusty Springfield,The Look of Love,1967,1960,F,POP,4,133,S,,Afternoon,Y,1960
Eddie Cochran,Three Steps to Heaven,1960,1960,M,ROCK,4,134,S,,Morning,Y,1960
Eden Kane,Well I Ask You,1961,1960,M,POP,3,135,S,,Afternoon,Y,1960
Elvis Presley,It's Now or Never,1960,1960,M,POP,5,136,S,,Morning,Y,1960
Elvis Presley,Are You Lonesome Tonight?,1960,1960,M,POP,4,137,S,,Afternoon,Y,1960
Elvis Presley,Can't Help Falling in Love,1961,1960,M,POP,4,138,S,,Morning,Y,1960
Elvis Presley,Suspicious Minds,1969,1960,M,POP,5,139,S,,Morning,Y,1960
Etta James,At Last,1960,1960,F,SOUL,3,140,S,,Afternoon,Y,1960
Frank Sinatra,My Way,1969,1960,M,POP,4,141,S,,Afternoon,Y,1960
Frank Sinatra,Fly Me to the Moon,1964,1960,M,POP,4,142,S,,Afternoon,Y,1960
Frank Sinatra,Strangers in the Night,1966,1960,M,POP,3,143,S,,Afternoon,Y,1960
Frank Sinatra,That's Life,1966,1960,M,POP,4,144,S,,Morning,Y,1960
Frank Sinatra,The Way You Look Tonight,1964,1960,M,POP,3,145,S,,Afternoon,Y,1960
Frankie Valli,Can't Take My Eyes Off You,1967,1960,M,POP,2,146,S,,Evening,Y,1960
The Four Seasons,Sherry,1962,1960,G,POP,4,147,S,,Morning,Y,1960
The Four Seasons,Big Girls Don't Cry,1962,1960,G,POP,2,148,S,,Evening,Y,1960
Gene Pitney,Twenty Four Hours from Tulsa,1963,1960,M,POP,4,149,S,,Morning,Y,1960
Gerry & The Pacemakers,You'll Never Walk Alone,1963,1960,G,POP,2,150,S,,Night,Y,1960
Gerry & The Pacemakers,Ferry Cross the Mersey,1964,1960,G,POP,2,151,S,,Evening,Y,1960
Glen Campbell,Wichita Lineman,1968,1960,M,COUNTRY,3,152,S,,Afternoon,Y,1960
Glen Campbell,By the Time I Get to Phoenix,1967,1960,M,COUNTRY,4,153,S,,Afternoon,Y,1960
Harry Nilsson,Everybody's Talkin',1968,1960,M,POP,2,154,S,,Evening,Y,1960
Helen Shapiro,You Don't Know,1961,1960,F,POP,3,155,S,,Afternoon,Y,1960
Helen Shapiro,Walkin' Back to Happiness,1961,1960,F,POP,3,156,S,,Afternoon,Y,1960
Herman's Hermits,I'm Into Something Good,1964,1960,G,POP,3,157,S,,Afternoon,Y,1960
Herman's Hermits,No Milk Today,1966,1960,G,POP,2,158,S,,Night,Y,1960
Isley Brothers,This Old Heart of Mine (Is Weak for You),1966,1960,G,SOUL,4,159,S,,Afternoon,Y,1960
Ivy League,Tossing and Turning,1965,1960,G,POP,2,160,S,,Evening,Y,1960
Jackie Wilson,(Your Love Keeps Lifting Me) Higher and Higher,1967,1960,M,SOUL,2,161,S,,Night,Y,1960
Jackson 5,I Want You Back,1969,1960,G,SOUL,2,162,S,,Evening,Y,1960
James Brown,I Got You (I Feel Good),1965,1960,M,SOUL,3,163,S,,Afternoon,Y,1960
James Brown,It's a Man's Man's Man's World,1966,1960,M,SOUL,2,164,S,,Evening,Y,1960
James Brown,Papa's Got a Brand New Bag,1965,1960,M,SOUL,3,165,S,,Afternoon,Y,1960
Jane Birkin,Je t'aime... moi non plus,1969,1960,F,POP,3,166,S,,Afternoon,Y,1960
Serge Gainsbourg,Je t'aime... moi non plus,1969,1960,M,POP,3,167,S,,Afternoon,Y,1960
Jethro Tull,Living in the Past,1969,1960,G,ROCK,3,168,S,,Afternoon,Y,1960
Jim Reeves,Distant Drums,1966,1960,M,COUNTRY,2,169,S,,Evening,Y,1960
Jim Reeves,I Love You Because,1964,1960,M,COUNTRY,2,170,S,,Night,Y,1960
Jimi Hendrix,All Along the Watchtower,1968,1960,M,ROCK,4,171,S,,Afternoon,Y,1960
Jimi Hendrix,Purple Haze,1967,1960,M,ROCK,2,172,S,,Evening,Y,1960
