Artist,Title,Year,Decade,Gender,Genre,Energy,ID,Length,Daypart,Enabled,Location 1,Location 2,BPM
Beatles,Hey Jude,1968,1960,G,Pop,3,1000,S,Afternoon,Y,2388C,,
Beatles,Let It Be,1970,1970,G,Pop,3,1001,S,Afternoon,Y,983C,,
Beatles,Come Together,1969,1960,G,Pop,3,1002,S,Afternoon,Y,2388C,,
Beatles,Yesterday,1965,1960,G,Pop,1,1003,S,Morning,Y,2388C,,
Beatles,Help!,1980,1980,G,Pop,3,1004,S,Afternoon,Y,2388C,,
Beatles,A Hard Day's Night,1980,1980,G,Pop,2,1005,S,Night,Y,87C,,
Beatles,Something,1980,1980,G,Pop,3,1006,S,Afternoon,Y,2388C,,
Beatles,Strawberry Fields Forever,1980,1980,G,Pop,3,1007,S,Afternoon,Y,2388C,,
Queen,Bohemian Rhapsody,1975,1970,G,Rock,5,1008,S,Afternoon,Y,2229C,,
Queen,Under Pressure,1981,1980,G,Rock,4,1009,S,Afternoon,Y,931C,,
Queen,Don't Stop Me Now,1978,1970,G,Rock,5,1010,S,Afternoon,Y,2282C,,
Queen,We Are The Champions,1975,1970,G,Rock,4,1011,S,Afternoon,Y,59C,,
Queen,I Want To Break Free,1975,1970,G,Rock,4,1012,S,Afternoon,Y,2425C,,
Queen,Radio Ga Ga,1975,1970,G,Rock,4,1013,S,Afternoon,Y,931C,,
Queen,A Kind Of Magic,1975,1970,G,Rock,4,1014,S,Afternoon,Y,931C,,
Queen,Crazy Little Thing Called Love,1975,1970,G,Rock,2,1015,S,Afternoon,Y,2123C,,
Elton John,Rocket Man,1973,1970,M,Pop,3,1016,S,Afternoon,Y,197C,,
Elton John,Your Song,1973,1970,M,Pop,3,1017,S,Afternoon,Y,2336C,,
Elton John,Tiny Dancer,1973,1970,M,Pop,3,1018,S,Afternoon,Y,942C,,
Elton John,I'm Still Standing,1973,1970,M,Pop,3,1019,S,Afternoon,Y,982C,,
Elton John,Candle In The Wind,1973,1970,M,Pop,1,1020,S,Afternoon,Y,2500C,,
Elton John,Goodbye Yellow Brick Road,1973,1970,M,Pop,3,1021,S,Afternoon,Y,982C,,
Elton John,Don't Go Breaking My Heart,1973,1970,M,Pop,3,1022,S,Afternoon,Y,982C,,
Elton John,Sacrifice,1973,1970,M,Pop,3,1023,S,Afternoon,Y,982C,,
David Bowie,Starman,1972,1970,M,Pop,3,1024,S,Afternoon,Y,720C,,
David Bowie,Heroes,1972,1970,M,Pop,3,1025,S,Afternoon,Y,705S,,
David Bowie,Life On Mars?,1972,1970,M,Pop,3,1026,S,Afternoon,Y,2460C,,
David Bowie,Space Oddity,1972,1970,M,Pop,3,1027,S,Afternoon,Y,2410C,,
David Bowie,Let's Dance,1972,1970,M,Pop,3,1028,S,Afternoon,Y,2011C,,
David Bowie,Changes,1972,1970,M,Pop,3,1029,S,Afternoon,Y,2904C,,
David Bowie,Ziggy Stardust,1972,1970,M,Pop,3,1030,S,Afternoon,Y,,,
David Bowie,Rebel Rebel,1972,1970,M,Pop,3,1031,S,Afternoon,Y,,,
Fleetwood Mac,Dreams,1980,1980,G,Rock,4,1032,S,Night,Y,624S,,
Fleetwood Mac,Go Your Own Way,1980,1980,G,Rock,4,1033,S,Afternoon,Y,2765C,,
Fleetwood Mac,The Chain,1980,1980,G,Rock,4,1034,S,Afternoon,Y,2765C,,
Fleetwood Mac,Don't Stop,1980,1980,G,Rock,4,1035,S,Afternoon,Y,586C,,
Fleetwood Mac,Everywhere,1980,1980,G,Rock,4,1036,S,Afternoon,Y,2275C,,
Fleetwood Mac,Little Lies,1980,1980,G,Rock,4,1037,S,Afternoon,Y,2765C,,
Fleetwood Mac,Rhiannon,1980,1980,G,Rock,4,1038,S,Afternoon,Y,2765C,,
Fleetwood Mac,Gypsy,1980,1980,G,Rock,4,1039,S,Afternoon,Y,2765C,,
ABBA,Dancing Queen,1980,1980,G,Pop,5,1040,S,Afternoon,Y,410C,,
ABBA,Mamma Mia,1980,1980,G,Pop,5,1041,S,Afternoon,Y,410C,,
ABBA,Take A Chance On Me,1980,1980,G,Pop,3,1042,S,Afternoon,Y,410C,,
ABBA,Waterloo,1980,1980,G,Pop,5,1043,S,Afternoon,Y,410C,,
ABBA,The Winner Takes It All,1980,1980,G,Pop,3,1044,S,Afternoon,Y,410C,,
ABBA,SOS,1980,1980,G,Pop,3,1045,S,Afternoon,Y,410C,,
ABBA,Fernando,1980,1980,G,Pop,3,1046,S,Afternoon,Y,410C,,
ABBA,Gimme! Gimme! Gimme!,1980,1980,G,Pop,5,1047,S,Afternoon,Y,,,
Rolling Stones,Satisfaction,1980,1980,G,Rock,4,1048,S,Afternoon,Y,474C,,
Rolling Stones,Paint It Black,1980,1980,G,Rock,4,1049,S,Afternoon,Y,474C,,
Rolling Stones,Start Me Up,1980,1980,G,Rock,4,1050,S,Afternoon,Y,1439S,,
Rolling Stones,Honky Tonk Women,1980,1980,G,Rock,4,1051,S,Afternoon,Y,474C,,
Rolling Stones,Angie,1980,1980,G,Rock,4,1052,S,Afternoon,Y,,,
Rolling Stones,Brown Sugar,1980,1980,G,Rock,4,1053,S,Afternoon,Y,474C,,
Rolling Stones,Gimme Shelter,1980,1980,G,Rock,4,1054,S,Afternoon,Y,474C,,
Rolling Stones,Wild Horses,1980,1980,G,Rock,4,1055,S,Afternoon,Y,474C,,
Coldplay,Yellow,2002,2000,G,Rock,4,1056,S,Afternoon,Y,,,
Coldplay,Fix You,2002,2000,G,Rock,4,1057,S,Afternoon,Y,,,
Coldplay,Viva La Vida,2002,2000,G,Rock,4,1058,S,Afternoon,Y,2722C,,
Coldplay,Paradise,2002,2000,G,Rock,4,1059,S,Afternoon,Y,2760C,,
Coldplay,Clocks,2002,2000,G,Rock,4,1060,S,Afternoon,Y,854C,,
Coldplay,A Sky Full Of Stars,2002,2000,G,Rock,4,1061,S,Afternoon,Y,2932C,,
Coldplay,Adventure Of A Lifetime,2002,2000,G,Rock,4,1062,S,Afternoon,Y,3109c,,
Coldplay,The Scientist,2002,2000,G,Rock,4,1063,S,Afternoon,Y,854C,,
Ed Sheeran,Thinking Out Loud,1980,1980,G,Rock,4,1064,S,Afternoon,Y,,,
Ed Sheeran,Shape Of You,1980,1980,G,Rock,4,1065,S,Afternoon,Y,3153c,,
Ed Sheeran,Perfect,1980,1980,G,Rock,4,1066,S,Afternoon,Y,3153c,,
Ed Sheeran,Castle On The Hill,1980,1980,G,Rock,4,1067,S,Afternoon,Y,3153c,,
Ed Sheeran,The A Team,1980,1980,G,Rock,4,1068,S,Afternoon,Y,2671C,,
Ed Sheeran,Photograph,1980,1980,G,Rock,4,1069,S,Afternoon,Y,,,
Ed Sheeran,Bad Habits,1980,1980,G,Rock,4,1070,S,Afternoon,Y,,,
Ed Sheeran,Shivers,1980,1980,G,Rock,4,1071,S,Afternoon,Y,,,
Adele,Hello,2011,2010,F,Pop,3,1072,S,Afternoon,Y,,,
Adele,Someone Like You,2011,2010,F,Pop,1,1073,S,Afternoon,Y,2619C,,
Adele,Rolling In The Deep,2011,2010,F,Pop,4,1074,S,Afternoon,Y,2607C,,
Adele,Make You Feel My Love,2011,2010,F,Pop,1,1075,S,Afternoon,Y,2613C,,
Adele,Skyfall,2011,2010,F,Pop,3,1076,S,Afternoon,Y,,,
Adele,Send My Love,2011,2010,F,Pop,4,1077,S,Afternoon,Y,,,
Adele,Chasing Pavements,2011,2010,F,Pop,3,1078,S,Afternoon,Y,2491C,,
Adele,When We Were Young,2011,2010,F,Pop,1,1079,S,Afternoon,Y,,,
George Michael,Careless Whisper,1980,1980,M,Pop,3,1080,S,Afternoon,Y,112C,,
George Michael,Faith,1980,1980,M,Pop,3,1081,S,Afternoon,Y,985C,,
George Michael,Father Figure,1980,1980,M,Pop,3,1082,S,Afternoon,Y,985C,,
George Michael,Freedom! '90,1980,1980,M,Pop,3,1083,S,Afternoon,Y,985C,,
George Michael,Jesus To A Child,1980,1980,M,Pop,3,1084,S,Afternoon,Y,294C,,
George Michael,Outside,1980,1980,M,Pop,3,1085,S,Afternoon,Y,463C,,
George Michael,Fastlove,1980,1980,M,Pop,3,1086,S,Afternoon,Y,2011C,,
George Michael,Amazing,1980,1980,M,Pop,3,1087,S,Afternoon,Y,,,
Wham!,Wake Me Up Before You Go-Go,1980,1980,G,Rock,4,1088,S,Morning,Y,198C,,
Wham!,Freedom,1980,1980,G,Rock,4,1089,S,Afternoon,Y,2004S,,
Wham!,I'm Your Man,1980,1980,G,Rock,4,1090,S,Afternoon,Y,,,
Wham!,Everything She Wants,1980,1980,G,Rock,4,1091,S,Afternoon,Y,,,
Wham!,The Edge Of Heaven,1980,1980,G,Rock,4,1092,S,Afternoon,Y,2715C,,
Wham!,Club Tropicana,1980,1980,G,Rock,4,1093,S,Afternoon,Y,1829S,,
Wham!,Last Christmas,1980,1980,G,Rock,4,1094,S,Afternoon,Y,1009C,,
